Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Goldfields Esperance District,0,0,0,0,0,2,2,0,6,6,0,63,25,38,71,23,33,15,9,2,7,9,2,7,3,0,3,6,0,6,169,168,95,73,21,214,0,0,0,0,5,209,174,19,155,5,1,4,0,582,751,76,2,48,21,3,2,9,1,8,16,101,9,6,1,0,5,14,9,0,5,29
Feb-07,Goldfields Esperance District,0,0,0,0,0,9,5,4,45,45,0,44,12,32,65,27,34,4,4,1,3,10,1,9,3,0,3,2,0,2,182,107,70,37,15,176,0,0,0,0,4,172,116,12,104,6,1,5,0,420,602,73,2,35,30,6,0,5,1,4,6,84,8,27,1,0,26,23,8,8,7,58
Mar-07,Goldfields Esperance District,0,0,0,0,0,15,12,3,2,2,0,53,19,34,85,28,46,11,2,1,1,15,5,10,0,0,0,3,1,2,175,117,60,57,19,197,0,0,0,0,2,195,157,18,139,7,0,7,0,497,672,68,5,32,26,5,0,2,2,0,7,77,19,33,0,0,33,26,20,3,3,78
Apr-07,Goldfields Esperance District,0,0,0,0,0,6,4,2,1,1,0,35,14,21,42,16,21,5,3,2,1,13,7,6,1,0,1,3,0,3,104,94,60,34,11,148,0,0,0,0,3,145,123,16,107,4,0,4,0,380,484,106,13,47,31,3,12,8,2,6,14,128,17,2,0,0,2,14,11,3,0,33
May-07,Goldfields Esperance District,0,0,0,0,0,18,17,1,8,8,0,39,17,22,67,31,21,15,2,2,0,12,6,6,1,0,1,2,1,1,149,88,61,27,13,182,0,0,0,0,4,178,125,10,115,5,0,5,0,413,562,107,16,51,34,5,1,1,1,0,17,125,5,72,3,0,69,19,17,1,1,96
Jun-07,Goldfields Esperance District,1,0,0,1,0,14,13,1,4,4,0,51,23,28,63,22,29,12,8,3,5,7,3,4,3,1,2,2,0,2,153,105,66,39,17,197,0,0,0,0,1,196,154,24,130,3,0,3,0,476,629,76,9,31,32,2,2,7,1,6,11,94,7,6,0,0,6,16,12,3,1,29
Jul-07,Goldfields Esperance District,3,0,0,1,2,10,7,3,21,21,0,52,24,28,64,12,40,12,5,4,1,6,1,5,0,0,0,1,0,1,162,107,71,36,15,144,0,0,0,0,2,142,132,16,116,5,0,5,0,403,565,59,3,26,27,3,0,2,0,2,7,68,8,8,0,0,8,16,10,1,5,32
Aug-07,Goldfields Esperance District,0,0,0,0,0,4,4,0,7,7,0,37,16,21,65,22,33,10,5,1,4,9,3,6,2,0,2,3,0,3,132,93,68,25,17,173,0,0,0,0,3,170,121,17,104,17,0,17,0,421,553,117,6,53,50,3,5,7,5,2,8,132,7,24,7,0,17,12,7,4,1,43
Sep-07,Goldfields Esperance District,1,0,0,0,1,7,7,0,12,12,0,53,25,28,78,32,39,7,7,5,2,8,7,1,0,0,0,1,0,1,167,116,87,29,10,169,0,0,0,0,4,165,135,31,104,6,0,6,0,436,603,81,3,34,40,4,0,5,0,5,10,96,7,13,0,0,13,11,5,5,1,31
Oct-07,Goldfields Esperance District,1,0,0,0,1,9,6,3,0,0,0,57,31,26,67,19,45,3,2,1,1,8,2,6,1,0,1,4,1,3,149,131,89,42,18,176,0,0,0,0,3,173,171,17,154,6,1,5,0,502,651,68,6,28,33,1,0,25,17,8,10,103,3,6,0,0,6,14,9,3,2,23
