Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Great Southern District,0,0,0,0,0,6,6,0,11,11,0,33,7,26,36,10,21,5,7,6,1,6,4,2,0,0,0,3,0,3,102,81,52,29,7,167,0,0,0,0,0,167,90,14,76,3,1,2,0,348,450,56,6,21,25,4,0,7,2,5,3,66,5,23,0,0,23,11,8,2,1,39
Feb-07,Great Southern District,0,0,0,0,0,9,9,0,9,8,1,22,4,18,40,17,19,4,2,2,0,3,1,2,1,0,1,1,0,1,87,76,46,30,15,125,0,0,0,0,1,124,99,24,75,5,0,5,0,320,407,84,4,32,34,14,0,4,2,2,8,96,11,12,0,0,12,14,2,0,12,37
Mar-07,Great Southern District,0,0,0,0,0,4,4,0,7,6,1,13,1,12,18,4,13,1,2,2,0,4,4,0,0,0,0,1,0,1,49,86,49,37,9,148,0,0,0,0,2,146,110,16,94,3,1,2,0,356,405,97,11,37,34,15,0,5,3,2,2,104,3,20,0,0,20,25,19,5,1,48
Apr-07,Great Southern District,0,0,0,0,0,8,7,1,3,3,0,19,3,16,27,7,18,2,1,1,0,2,2,0,0,0,0,3,0,3,63,94,43,51,8,145,0,0,0,0,0,145,99,13,86,2,1,1,0,348,411,82,7,44,28,3,0,2,2,0,13,97,7,14,1,0,13,12,5,6,1,33
May-07,Great Southern District,0,0,0,0,0,3,3,0,6,6,0,27,4,23,41,12,25,4,2,2,0,7,5,2,1,0,1,4,0,4,91,71,33,38,8,126,0,0,0,0,2,124,95,10,85,3,1,2,0,303,394,148,10,55,62,21,0,4,4,0,13,165,2,5,0,0,5,19,9,5,5,26
Jun-07,Great Southern District,1,0,1,0,0,5,5,0,7,7,0,13,4,9,26,7,16,3,0,0,0,2,2,0,0,0,0,2,0,2,56,54,31,23,8,117,0,0,0,0,3,114,99,16,83,7,0,7,0,285,341,57,5,29,20,3,0,2,1,1,4,63,4,7,0,0,7,11,8,3,0,22
Jul-07,Great Southern District,0,0,0,0,0,18,16,2,0,0,0,10,4,6,38,14,19,5,0,0,0,1,0,1,0,0,0,1,0,1,68,72,34,38,11,137,0,0,0,0,1,136,87,17,70,0,0,0,0,307,375,30,0,18,11,1,0,3,2,1,3,36,10,17,0,0,17,8,4,2,2,35
Aug-07,Great Southern District,0,0,0,0,0,1,1,0,4,4,0,28,5,23,45,17,24,4,0,0,0,10,10,0,1,0,1,1,0,1,90,50,25,25,15,143,0,0,0,0,2,141,96,11,85,11,1,10,0,315,405,125,70,29,17,9,0,1,0,1,2,128,12,87,0,0,87,23,13,7,3,122
Sep-07,Great Southern District,0,0,0,0,0,9,7,2,0,0,0,19,2,17,27,7,18,2,2,2,0,4,1,3,1,0,1,1,1,0,63,67,36,31,10,141,0,0,0,0,4,137,92,9,83,3,0,3,0,313,376,73,9,24,24,14,2,7,4,3,15,95,12,20,0,0,20,12,7,4,1,44
Oct-07,Great Southern District,0,0,0,0,0,9,8,1,2,2,0,13,5,8,39,12,25,2,4,4,0,11,8,3,2,0,2,2,0,2,82,50,30,20,3,103,0,0,0,0,1,102,124,17,107,4,0,4,0,284,366,28,1,19,6,2,0,1,1,0,9,38,13,4,0,0,4,11,4,1,6,28
