Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Kimberley District,2,0,0,0,2,7,7,0,4,4,0,84,39,45,34,12,17,5,8,6,2,4,3,1,1,0,1,0,0,0,144,161,90,71,34,111,0,0,0,0,3,108,95,7,88,1,0,1,0,402,546,33,6,11,15,1,0,13,5,8,4,50,7,6,0,0,6,27,19,2,6,40
Feb-07,Kimberley District,0,0,0,0,0,17,17,0,1,1,0,77,39,38,52,18,24,10,4,3,1,16,9,7,1,0,1,2,0,2,170,114,58,56,23,118,0,0,0,0,0,118,121,13,108,0,0,0,0,376,546,18,4,9,5,0,0,2,2,0,0,20,4,7,1,0,6,33,30,2,1,44
Mar-07,Kimberley District,1,0,0,0,1,8,7,1,2,2,0,75,39,36,79,36,28,15,12,9,3,19,10,9,5,0,5,3,0,3,204,106,52,54,29,139,0,0,0,0,1,138,116,8,108,5,0,5,0,395,599,32,8,12,12,0,0,2,2,0,9,43,6,12,0,0,12,23,16,3,4,41
Apr-07,Kimberley District,1,1,0,0,0,39,34,5,37,35,2,70,35,35,59,24,30,5,6,4,2,6,4,2,2,0,2,1,0,1,221,69,44,25,17,123,0,0,0,0,0,123,82,5,77,0,0,0,0,291,512,31,4,16,10,0,1,9,7,2,5,45,3,28,3,0,25,26,12,6,8,57
May-07,Kimberley District,1,1,0,0,0,10,10,0,27,25,2,78,33,45,49,12,30,7,15,9,6,5,2,3,0,0,0,3,0,3,188,84,43,41,12,123,0,0,0,0,0,123,79,8,71,4,1,3,0,302,490,25,3,13,9,0,0,2,0,2,7,34,3,3,0,0,3,19,12,0,7,25
Jun-07,Kimberley District,0,0,0,0,0,14,13,1,18,18,0,55,28,27,70,23,36,11,6,5,1,10,7,3,3,0,3,0,0,0,176,84,36,48,9,103,0,0,0,0,0,103,67,3,64,3,1,2,0,266,442,40,6,18,14,0,2,8,8,0,6,54,7,6,0,0,6,21,10,6,5,34
Jul-07,Kimberley District,0,0,0,0,0,9,6,3,49,48,1,63,26,37,52,17,28,7,12,9,3,11,4,7,4,0,4,1,0,1,201,54,29,25,22,82,0,0,0,0,5,77,88,6,82,4,0,4,0,250,451,34,14,8,12,0,0,6,1,5,14,54,3,4,1,0,3,13,7,4,2,20
Aug-07,Kimberley District,0,0,0,0,0,13,13,0,25,25,0,69,32,37,63,18,30,15,5,4,1,9,4,5,1,0,1,0,0,0,185,52,35,17,25,100,0,0,0,0,5,95,84,15,69,9,4,5,0,270,455,24,0,11,13,0,0,0,0,0,6,30,4,7,0,0,7,22,14,6,2,33
Sep-07,Kimberley District,2,0,0,0,2,16,10,6,23,23,0,69,28,41,54,26,20,8,5,3,2,7,4,3,2,0,2,1,0,1,179,76,48,28,10,102,0,0,0,0,4,98,72,4,68,7,1,6,0,267,446,16,0,8,7,1,0,0,0,0,4,20,5,10,0,0,10,24,20,2,2,39
Oct-07,Kimberley District,0,0,0,0,0,19,15,4,26,26,0,59,32,27,86,38,44,4,3,1,2,18,6,12,1,0,1,3,0,3,215,99,66,33,9,125,0,0,0,0,0,125,87,6,81,12,7,5,0,332,547,45,4,21,19,1,0,4,2,2,8,57,2,2,0,0,2,24,15,5,4,28
