Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Mandurah District,1,1,0,0,0,16,13,3,9,8,1,75,9,66,79,20,55,4,11,9,2,20,14,6,1,0,1,12,0,12,224,361,227,134,51,598,0,0,0,0,5,593,318,24,294,16,3,13,0,1344,1568,107,5,60,34,8,0,8,3,5,16,131,52,31,3,0,28,41,32,4,5,124
Feb-07,Mandurah District,0,0,0,0,0,18,7,11,3,2,1,61,13,48,102,41,53,8,13,12,1,22,15,7,4,1,3,10,0,10,233,264,179,85,50,531,0,0,0,0,1,530,264,15,249,10,5,5,0,1119,1352,99,1,51,29,18,0,3,1,2,14,116,25,55,0,0,55,46,34,9,3,126
Mar-07,Mandurah District,0,0,0,0,0,12,8,4,19,19,0,80,20,60,103,24,74,5,11,9,2,29,21,8,3,0,3,14,4,10,271,293,211,82,44,571,0,0,0,0,6,565,347,39,308,9,2,7,0,1264,1535,100,9,61,21,9,0,8,3,5,9,117,33,17,1,0,16,40,28,3,9,90
Apr-07,Mandurah District,0,0,0,0,0,7,5,2,8,8,0,59,14,45,94,31,59,4,8,6,2,14,11,3,1,0,1,8,1,7,199,231,171,60,41,524,0,0,0,0,3,521,272,12,260,8,2,6,0,1076,1275,130,13,77,23,17,0,3,2,1,8,141,72,18,0,0,18,34,25,2,7,124
May-07,Mandurah District,2,1,0,1,0,17,16,1,5,5,0,61,13,48,94,23,63,8,8,6,2,18,14,4,6,1,5,5,0,5,216,193,123,70,42,565,0,0,0,0,3,562,290,25,265,4,0,4,0,1094,1310,160,16,76,53,14,1,5,2,3,10,175,27,41,0,0,41,43,34,7,2,111
Jun-07,Mandurah District,0,0,0,0,0,24,18,6,44,38,6,63,13,50,81,17,60,4,5,5,0,11,8,3,2,0,2,9,2,7,239,237,151,86,53,491,0,0,0,0,2,489,272,21,251,8,1,7,0,1061,1300,144,30,73,36,5,0,13,10,3,17,174,92,17,0,0,17,49,38,6,5,158
Jul-07,Mandurah District,5,1,0,0,4,7,4,3,9,9,0,31,4,27,82,29,49,4,7,5,2,21,14,7,0,0,0,10,4,6,172,301,170,131,66,561,0,0,0,0,6,555,288,19,269,5,1,4,0,1221,1393,191,18,109,53,11,0,14,11,3,16,221,94,24,7,0,17,28,20,4,4,146
Aug-07,Mandurah District,1,1,0,0,0,15,10,5,14,13,1,62,12,50,72,22,43,7,8,6,2,24,13,11,2,0,2,17,4,13,215,307,180,127,57,501,0,0,0,0,3,498,302,29,273,7,0,7,0,1174,1389,179,18,109,45,7,0,9,8,1,19,207,87,62,0,0,62,38,20,8,10,187
Sep-07,Mandurah District,0,0,0,0,0,22,17,5,6,6,0,52,15,37,78,21,51,6,8,7,1,27,22,5,3,0,3,7,3,4,203,228,140,88,57,629,0,0,0,0,5,624,260,16,244,7,0,7,0,1181,1384,133,10,83,31,8,1,20,16,4,18,171,58,26,2,0,24,36,24,6,6,120
Oct-07,Mandurah District,1,0,0,1,0,13,11,2,21,20,1,49,9,40,81,20,59,2,9,9,0,20,18,2,4,0,4,13,3,10,211,308,199,109,70,740,0,0,0,0,1,739,350,20,330,15,1,14,0,1483,1694,147,9,91,38,9,0,11,7,4,17,175,140,45,1,0,44,43,28,13,2,228
