Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Midland District,0,0,0,0,0,13,8,5,20,17,3,73,17,56,67,20,44,3,11,10,1,20,14,6,2,0,2,14,4,10,220,308,177,131,85,539,0,0,0,0,4,535,322,31,291,20,6,14,0,1274,1494,132,17,74,38,3,0,7,6,1,18,157,52,26,1,0,25,23,13,5,5,101
Feb-07,Midland District,0,0,0,0,0,16,11,5,13,10,3,65,17,48,91,32,56,3,7,4,3,18,13,5,1,0,1,20,1,19,231,276,190,86,41,435,0,0,0,0,4,431,214,15,199,12,5,7,0,978,1209,119,14,72,26,6,1,17,11,6,25,161,155,24,1,0,23,31,22,3,6,210
Mar-07,Midland District,0,0,0,0,0,17,15,2,15,15,0,56,13,43,88,24,64,0,4,4,0,13,9,4,0,0,0,22,2,20,215,285,189,96,52,471,0,0,0,0,3,468,245,15,230,16,6,10,0,1069,1284,128,13,62,41,11,1,16,13,3,9,153,53,56,1,0,55,24,13,9,2,133
Apr-07,Midland District,0,0,0,0,0,12,11,1,99,99,0,50,11,39,75,18,49,8,3,3,0,15,8,7,1,0,1,13,1,12,268,232,144,88,57,487,0,0,0,0,6,481,226,19,207,3,0,3,0,1005,1273,161,9,97,48,7,0,14,10,4,29,204,97,21,0,0,21,52,44,6,2,170
May-07,Midland District,2,0,2,0,0,16,12,4,15,14,1,64,14,50,70,15,47,8,9,7,2,23,9,14,3,1,2,9,3,6,211,308,229,79,49,591,0,0,0,0,7,584,253,17,236,7,0,7,0,1208,1419,214,75,88,48,3,0,16,11,5,19,249,272,160,12,0,148,41,33,2,6,473
Jun-07,Midland District,0,0,0,0,0,15,13,2,9,7,2,47,7,40,61,18,38,5,7,7,0,18,15,3,4,0,4,15,2,13,176,265,186,79,52,542,0,0,0,0,8,534,288,18,270,15,0,15,0,1162,1338,194,24,110,42,15,3,40,33,7,27,261,125,37,0,0,37,21,12,6,3,183
Jul-07,Midland District,0,0,0,0,0,13,4,9,21,19,2,53,10,43,89,30,54,5,6,4,2,16,12,4,0,0,0,8,2,6,206,301,227,74,72,481,0,0,0,0,4,477,253,19,234,5,0,5,0,1112,1318,112,12,55,39,6,0,17,12,5,9,138,157,30,1,0,29,18,13,2,3,205
Aug-07,Midland District,0,0,0,0,0,8,6,2,5,5,0,62,13,49,69,21,46,2,6,5,1,12,9,3,3,0,3,13,3,10,178,347,229,118,48,614,0,0,0,0,2,612,306,15,291,7,0,7,0,1322,1500,139,7,89,38,5,0,26,21,5,21,186,199,29,0,0,29,59,34,12,13,287
Sep-07,Midland District,0,0,0,0,0,13,10,3,12,12,0,70,16,54,82,26,51,5,6,5,1,25,14,11,3,0,3,12,0,12,223,344,233,111,51,522,0,0,0,0,2,520,276,26,250,11,0,11,0,1204,1427,144,13,74,48,8,1,20,10,10,13,177,225,21,0,0,21,40,25,6,9,286
Oct-07,Midland District,0,0,0,0,0,11,7,4,83,83,0,45,12,33,93,24,61,8,7,3,4,10,7,3,1,0,1,18,1,17,268,379,260,119,49,523,0,0,0,0,3,520,322,27,295,16,0,16,0,1289,1557,78,5,41,27,4,1,14,8,6,15,107,214,33,1,0,32,24,14,7,3,271
