Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Mirrabooka District,0,0,0,0,0,19,15,4,2,2,0,88,24,64,107,33,68,6,1,1,0,33,25,8,1,1,0,36,6,30,287,401,326,75,80,828,0,0,0,0,0,828,379,25,354,11,0,11,0,1699,1986,127,13,69,38,7,0,21,16,5,13,161,77,89,13,0,76,65,48,10,7,231
Feb-07,Mirrabooka District,0,0,0,0,0,15,13,2,4,2,2,69,19,50,111,37,70,4,11,9,2,39,26,13,6,0,6,31,1,30,286,438,358,80,93,672,0,0,0,0,8,664,375,23,352,11,0,11,0,1589,1875,128,9,65,49,5,0,20,12,8,13,161,102,99,0,0,99,47,27,16,4,248
Mar-07,Mirrabooka District,1,0,1,0,0,14,11,3,2,2,0,62,21,41,126,32,86,8,5,4,1,26,21,5,4,0,4,35,5,30,275,466,391,75,74,818,0,0,0,0,4,814,359,23,336,6,1,5,0,1723,1998,138,19,78,34,6,1,28,12,16,22,188,73,115,1,0,114,74,57,15,2,262
Apr-07,Mirrabooka District,0,0,0,0,0,33,12,21,26,22,4,57,19,38,93,35,53,5,8,5,3,22,13,9,2,0,2,40,1,39,281,332,227,105,49,797,0,0,0,0,3,794,343,20,323,8,0,8,0,1529,1810,123,15,75,31,2,0,44,40,4,22,189,79,96,0,0,96,87,74,11,2,262
May-07,Mirrabooka District,1,0,1,0,0,32,28,4,2,2,0,47,5,42,63,22,38,3,4,3,1,16,10,6,2,0,2,25,0,25,192,342,239,103,57,731,0,0,0,0,3,728,329,21,308,8,0,8,0,1467,1659,177,29,93,45,9,1,20,13,7,20,217,36,55,2,0,53,76,66,5,5,167
Jun-07,Mirrabooka District,0,0,0,0,0,11,6,5,6,5,1,62,17,45,83,24,47,12,3,2,1,14,9,5,2,0,2,24,5,19,205,297,212,85,59,658,0,0,0,0,3,655,312,21,291,8,0,8,0,1334,1539,132,13,70,38,10,1,16,9,7,15,163,135,119,1,0,118,36,28,7,1,290
Jul-07,Mirrabooka District,0,0,0,0,0,37,19,18,34,34,0,47,10,37,60,25,33,2,3,3,0,10,8,2,5,0,5,25,3,22,221,332,259,73,67,698,0,0,0,0,7,691,309,20,289,5,0,5,0,1411,1632,125,11,73,37,4,0,22,16,6,19,166,118,56,0,0,56,29,20,4,5,203
Aug-07,Mirrabooka District,4,2,0,0,2,20,17,3,16,14,2,61,20,41,99,25,63,11,14,13,1,20,17,3,6,1,5,36,3,33,276,360,252,108,71,705,0,0,0,0,5,700,339,33,306,5,0,5,0,1480,1756,129,10,90,26,3,0,17,8,9,15,161,62,70,0,0,70,47,36,6,5,179
Sep-07,Mirrabooka District,1,0,0,1,0,10,7,3,1,1,0,63,14,49,82,24,54,4,12,12,0,27,18,9,2,1,1,28,2,26,226,343,260,83,68,696,0,0,0,0,7,689,301,20,281,5,0,5,0,1413,1639,153,14,84,50,5,0,15,8,7,11,179,149,66,0,0,66,43,26,12,5,258
Oct-07,Mirrabooka District,4,1,0,0,3,19,10,9,0,0,0,56,9,47,84,28,50,6,10,8,2,30,21,9,1,0,1,19,1,18,223,404,319,85,77,827,0,0,0,0,6,821,379,46,333,12,0,12,0,1699,1922,154,10,83,58,3,0,18,13,5,17,189,117,52,0,0,52,62,39,19,4,231
