Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Perth District,0,0,0,0,0,22,10,12,2,1,1,33,5,28,186,61,109,16,2,1,1,32,9,23,1,0,1,39,2,37,317,230,125,105,42,800,0,0,0,0,11,789,275,31,244,3,0,3,0,1350,1667,146,9,90,47,0,0,13,10,3,20,179,69,191,8,0,183,16,12,2,2,276
Feb-07,Perth District,0,0,0,0,0,23,14,9,8,7,1,24,4,20,162,58,86,18,3,3,0,30,10,20,5,0,5,26,1,25,281,180,100,80,51,753,0,0,0,0,8,745,219,23,196,5,0,5,0,1208,1489,153,15,102,34,2,0,12,10,2,16,181,184,60,4,0,56,21,16,3,2,265
Mar-07,Perth District,0,0,0,0,0,10,8,2,3,3,0,19,4,15,167,59,87,21,2,2,0,36,18,18,4,0,4,22,1,21,263,164,98,66,48,796,0,0,0,0,8,788,312,45,267,2,0,2,0,1322,1585,109,11,69,28,0,1,26,20,6,26,161,296,91,3,0,88,27,25,2,0,414
Apr-07,Perth District,0,0,0,0,0,27,9,18,7,7,0,23,8,15,176,70,88,18,0,0,0,31,18,13,2,0,2,27,0,27,293,147,86,61,60,705,0,0,0,0,5,700,239,22,217,3,0,3,0,1154,1447,159,4,109,45,1,0,11,9,2,24,194,308,116,2,0,114,16,10,3,3,440
May-07,Perth District,1,0,0,0,1,15,10,5,2,1,1,16,3,13,162,64,88,10,2,2,0,31,21,10,5,1,4,30,3,27,264,164,76,88,45,760,0,0,0,0,5,755,268,27,241,2,0,2,0,1239,1503,206,21,126,53,5,1,22,14,8,36,264,350,187,0,0,187,9,3,3,3,546
Jun-07,Perth District,0,0,0,0,0,29,17,12,10,8,2,21,1,20,153,49,92,12,2,2,0,17,11,6,0,0,0,14,0,14,246,145,74,71,35,731,0,0,0,0,6,725,242,20,222,3,0,3,0,1156,1402,130,7,83,39,1,0,16,14,2,24,170,339,108,4,0,104,12,5,7,0,459
Jul-07,Perth District,0,0,0,0,0,16,10,6,2,2,0,16,2,14,169,77,81,11,0,0,0,16,12,4,1,0,1,33,1,32,253,143,78,65,36,763,0,0,0,0,5,758,267,33,234,3,0,3,0,1212,1465,145,17,93,34,1,0,16,15,1,27,188,553,85,3,0,82,8,8,0,0,646
Aug-07,Perth District,0,0,0,0,0,29,17,12,2,1,1,12,3,9,162,67,79,16,3,3,0,20,10,10,2,1,1,22,0,22,252,137,71,66,28,754,0,0,0,0,4,750,217,22,195,4,0,4,0,1140,1392,146,12,89,42,3,0,17,14,3,29,192,427,137,4,0,133,10,3,7,0,574
Sep-07,Perth District,1,0,1,0,0,12,9,3,1,1,0,19,5,14,197,58,109,30,1,1,0,25,12,13,2,0,2,27,0,27,285,155,87,68,33,815,0,0,0,0,6,809,262,37,225,0,0,0,0,1265,1550,155,8,111,35,1,0,9,9,0,20,184,564,69,4,0,65,19,16,2,1,652
Oct-07,Perth District,0,0,0,0,0,21,13,8,8,6,2,25,5,20,190,78,88,24,0,0,0,19,10,9,3,0,3,33,4,29,299,185,102,83,28,912,0,0,0,0,4,908,309,36,273,4,0,4,0,1438,1737,155,9,109,33,4,0,15,13,2,22,192,480,74,1,0,73,72,63,7,2,626
Nov-07,Perth District,1,1,0,0,0,10,8,2,2,2,0,21,4,17,176,67,85,24,2,1,1,25,11,14,3,1,2,21,3,18,261,190,101,89,29,875,0,0,0,0,7,868,333,35,298,4,0,4,0,1431,1692,121,11,85,24,1,0,16,15,1,18,155,72,75,0,0,75,16,12,1,3,163
Dec-07,Perth District,1,1,0,0,0,9,6,3,2,2,0,25,9,16,221,78,111,32,5,4,1,17,7,10,0,0,0,17,0,17,297,189,103,86,40,815,0,0,0,0,4,811,283,31,252,10,0,10,0,1337,1634,127,9,78,38,2,0,12,12,0,12,151,613,153,4,0,149,9,5,3,1,775
Jan-08,Perth District,2,1,1,0,0,26,14,12,11,11,0,23,3,20,203,87,91,25,4,3,1,18,5,13,1,0,1,36,1,35,324,172,93,79,47,847,0,0,0,0,7,840,300,37,263,9,1,8,0,1375,1699,95,8,63,22,2,0,19,17,2,22,136,419,78,9,0,69,31,8,22,1,528
Feb-08,Perth District,0,0,0,0,0,15,12,3,2,1,1,21,7,14,139,61,68,10,0,0,0,20,3,17,1,0,1,22,0,22,220,210,101,109,59,768,0,0,0,0,4,764,294,32,262,5,0,5,0,1336,1556,115,15,72,28,0,0,23,14,9,24,162,419,127,0,0,127,14,8,6,0,560
Mar-08,Perth District,1,1,0,0,0,22,19,3,17,3,14,26,6,20,181,63,100,18,2,1,1,29,17,12,4,0,4,23,1,22,305,192,103,89,40,814,0,0,0,0,4,810,286,32,254,3,0,3,0,1335,1640,97,8,70,17,2,0,16,13,3,18,131,276,42,1,0,41,17,13,4,0,335
Apr-08,Perth District,0,0,0,0,0,16,10,6,2,2,0,14,4,10,172,59,93,20,1,0,1,34,20,14,2,0,2,18,1,17,259,206,115,91,42,1038,0,0,0,0,5,1033,327,47,280,4,0,4,0,1617,1876,134,16,83,33,1,1,13,11,2,16,163,171,133,11,0,122,16,7,4,5,320
May-08,Perth District,0,0,0,0,0,17,11,6,16,15,1,15,8,7,161,66,74,21,3,1,2,24,9,15,2,0,2,25,1,24,263,212,126,86,48,952,0,0,0,0,11,941,258,34,224,4,0,4,0,1474,1737,178,12,121,41,4,0,37,20,17,16,231,262,117,0,0,117,21,14,6,1,400
Jun-08,Perth District,1,0,0,0,1,16,13,3,6,5,1,20,9,11,143,63,64,16,0,0,0,23,7,16,2,0,2,32,1,31,243,213,123,90,52,1005,0,0,0,0,7,998,282,26,256,5,0,5,0,1557,1800,139,11,99,29,0,0,28,23,5,12,179,313,129,7,0,122,22,17,4,1,464
Jul-08,Perth District,0,0,0,0,0,18,11,7,4,4,0,17,3,14,143,63,61,19,0,0,0,24,7,17,2,0,2,30,2,28,238,174,103,71,47,861,0,0,0,0,3,858,252,39,213,0,0,0,0,1334,1572,163,16,100,45,2,0,25,20,5,19,207,525,93,2,0,91,13,9,1,3,631
Aug-08,Perth District,1,0,0,0,1,25,22,3,3,3,0,8,5,3,192,74,88,30,0,0,0,28,15,13,2,0,2,37,2,35,296,190,132,58,45,859,0,0,0,0,5,854,260,42,218,3,0,3,0,1357,1653,179,66,80,33,0,0,22,14,8,23,224,518,112,1,0,111,14,10,1,3,644
