Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Regional WA,2,0,0,0,2,43,34,9,82,80,2,332,108,224,351,96,202,53,38,23,15,51,26,25,10,0,10,17,1,16,926,914,530,384,135,1333,0,0,0,0,16,1317,1032,68,964,34,11,23,0,3448,4374,346,25,172,118,29,2,58,21,37,65,469,75,92,1,0,91,126,83,21,22,293
Feb-07,Regional WA,0,0,0,0,0,49,44,5,65,64,1,290,95,195,379,115,217,47,23,16,7,76,41,35,6,0,6,16,1,15,904,714,410,304,102,1138,0,0,0,0,12,1126,934,75,859,25,8,17,0,2913,3817,361,24,159,131,47,0,34,22,12,52,447,71,91,2,0,89,131,92,15,24,293
Mar-07,Regional WA,2,0,0,0,2,58,52,6,45,42,3,274,87,187,406,131,235,40,27,18,9,64,31,33,8,0,8,11,1,10,895,719,381,338,129,1323,0,0,0,0,11,1312,1069,84,985,36,3,33,0,3276,4171,408,44,168,139,57,0,30,20,10,43,481,88,125,2,0,123,185,106,64,15,398
Apr-07,Regional WA,2,2,0,0,0,93,77,16,56,53,3,234,91,143,287,81,171,35,20,16,4,53,33,20,6,0,6,13,0,13,764,639,375,264,92,1239,0,0,0,0,14,1225,849,75,774,31,4,27,0,2850,3614,443,48,228,126,28,13,46,28,18,64,553,90,110,5,0,105,130,80,33,17,330
May-07,Regional WA,1,1,0,0,0,52,46,6,68,63,5,274,100,174,317,97,173,47,38,26,12,51,32,19,9,0,9,20,5,15,830,593,323,270,97,1261,0,0,0,0,14,1247,863,55,808,25,4,21,0,2839,3669,546,49,265,189,41,2,35,26,9,58,639,78,133,3,0,130,121,84,14,23,332
Jun-07,Regional WA,3,0,1,2,0,56,46,10,61,60,1,203,87,116,327,91,199,37,27,20,7,49,28,21,8,1,7,13,2,11,747,640,355,285,103,1264,0,0,0,0,11,1253,930,81,849,30,1,29,0,2967,3714,445,52,215,152,21,5,36,26,10,51,532,83,80,2,0,78,104,67,24,13,267
Jul-07,Regional WA,3,0,0,1,2,64,53,11,101,99,2,230,87,143,315,79,190,46,26,19,7,56,32,24,10,0,10,12,0,12,817,659,370,289,112,1123,0,0,0,0,14,1109,905,72,833,38,1,37,0,2837,3654,343,31,167,125,20,0,40,24,16,58,441,76,75,1,0,74,89,40,25,24,240
Aug-07,Regional WA,0,0,0,0,0,35,30,5,99,99,0,256,85,171,362,110,200,52,23,15,8,67,41,26,8,0,8,18,1,17,868,590,371,219,114,1153,0,0,0,0,12,1141,855,84,771,60,8,52,0,2772,3640,501,88,222,153,31,7,21,13,8,36,558,73,176,9,0,167,149,93,37,19,398
Sep-07,Regional WA,3,0,0,0,3,57,45,12,48,48,0,263,86,177,332,110,183,39,29,19,10,61,43,18,5,0,5,11,2,9,809,685,423,262,109,1155,0,0,0,0,16,1139,836,80,756,50,3,47,0,2835,3644,479,75,210,160,32,2,38,16,22,60,577,100,100,1,0,99,132,88,32,12,332
Oct-07,Regional WA,1,0,0,0,1,67,49,18,48,45,3,252,103,149,402,129,252,21,19,15,4,68,29,39,10,0,10,20,4,16,887,713,434,279,130,1169,0,0,0,0,11,1158,915,96,819,54,13,41,0,2981,3868,366,28,182,130,25,1,44,27,17,47,457,92,41,1,0,40,110,62,22,26,243
