Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Damage by Fire,Cause Bushfire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Cultivate or Manufacture Drugs,Drug Possession,Possession of Drug Paraphernalia,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Western Australia,11,4,2,0,5,203,138,65,144,134,10,863,224,639,1099,330,662,107,94,72,22,247,160,87,35,1,34,188,18,170,2884,3677,2418,1259,717,7131,0,0,0,0,53,7078,3854,282,3572,120,97,23,0,15499,18383,1318,108,76,691,441,2,134,75,59,178,1630,892,605,32,0,573,472,333,84,55,1969
Feb-07,Western Australia,2,0,0,0,2,179,131,48,140,132,8,739,217,522,1151,367,680,104,86,69,17,264,161,103,33,3,30,151,14,137,2745,3123,2133,990,621,6148,0,0,0,0,45,6103,3336,237,3099,100,72,28,0,13328,16073,1286,86,114,679,404,3,150,106,44,178,1614,1080,543,19,0,524,472,323,96,53,2095
Mar-07,Western Australia,7,3,1,0,3,180,146,34,112,109,3,731,217,514,1273,405,781,87,80,62,18,260,166,94,29,4,25,203,25,178,2875,3421,2332,1089,649,6785,0,0,0,0,46,6739,3783,318,3465,108,92,16,0,14746,17621,1316,131,105,680,394,6,161,98,63,169,1646,1391,625,17,0,608,655,448,165,42,2671
Apr-07,Western Australia,2,2,0,0,0,232,165,67,224,215,9,618,201,417,1071,337,639,95,59,47,12,203,132,71,22,0,22,173,11,162,2604,2900,1904,996,532,6301,0,0,0,0,42,6259,3210,242,2968,82,75,7,0,13025,15629,1465,146,80,814,408,17,187,145,42,198,1850,1044,503,10,0,493,481,352,83,46,2028
May-07,Western Australia,13,4,3,1,5,202,152,50,159,147,12,641,185,456,1038,329,617,92,85,67,18,240,164,76,40,8,32,158,24,134,2576,2907,1911,996,575,6763,0,0,0,0,48,6715,3326,242,3084,83,76,7,0,13654,16230,1943,268,101,975,593,6,160,103,57,220,2323,1152,778,17,0,761,535,398,89,48,2465
Jun-07,Western Australia,6,1,1,2,2,186,134,52,197,168,29,575,169,406,1029,298,634,97,72,58,14,186,116,70,24,2,22,140,19,121,2415,2683,1743,940,490,6295,0,0,0,0,47,6248,3314,283,3031,94,91,3,0,12876,15291,1744,209,79,932,515,9,181,130,51,227,2152,1181,590,11,0,579,424,297,87,40,2195
Jul-07,Western Australia,8,1,0,1,6,190,123,67,196,191,5,570,170,400,1015,337,593,85,65,50,15,195,130,65,23,1,22,156,25,131,2418,2954,1936,1018,597,6241,0,0,0,0,48,6193,3301,282,3019,87,84,3,0,13180,15598,1425,135,76,767,445,2,157,111,46,174,1756,1564,462,15,0,447,352,222,79,51,2378
Aug-07,Western Australia,9,4,0,0,5,154,114,40,167,162,5,645,180,465,1083,352,614,117,84,68,16,221,143,78,32,2,30,165,21,144,2560,3062,1904,1158,581,6462,0,0,0,0,38,6424,3447,294,3153,111,102,9,0,13663,16223,1647,186,74,905,474,8,151,99,52,176,1974,1379,729,21,0,708,567,387,118,62,2675
Sep-07,Western Australia,11,0,1,1,9,168,122,46,110,106,4,695,186,509,1106,350,651,105,92,74,18,269,176,93,31,4,27,145,11,134,2627,3084,2057,1027,577,6417,0,0,0,0,47,6370,3297,316,2981,103,99,4,0,13478,16105,1567,159,71,846,487,4,178,114,64,182,1927,1681,393,10,0,383,455,307,90,58,2529
Oct-07,Western Australia,6,1,0,1,4,196,132,64,199,191,8,635,188,447,1155,385,696,74,71,57,14,224,132,92,27,1,26,180,21,159,2693,3411,2338,1073,637,6994,0,0,0,0,36,6958,3738,370,3368,138,124,14,0,14918,17611,1283,95,62,716,407,3,154,105,49,162,1599,1569,493,16,0,477,503,356,92,55,2565
