Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Wheatbelt District,0,0,0,0,0,4,1,3,11,10,1,23,3,20,29,9,17,3,4,2,2,8,7,1,1,0,1,0,0,0,80,55,34,21,8,84,0,0,0,0,1,83,85,1,84,4,0,4,0,236,316,30,2,13,12,3,0,6,1,5,15,51,15,8,0,0,8,6,3,0,3,29
Feb-07,Wheatbelt District,0,0,0,0,0,7,6,1,0,0,0,20,2,18,27,4,21,2,4,4,0,7,4,3,0,0,0,1,0,1,66,61,29,32,7,88,0,0,0,0,0,88,87,4,83,1,0,1,0,244,310,61,3,24,26,8,0,2,1,1,12,75,7,14,0,0,14,5,5,0,0,26
Mar-07,Wheatbelt District,0,0,0,0,0,12,11,1,2,1,1,17,2,15,34,7,24,3,1,0,1,5,2,3,0,0,0,1,0,1,72,56,30,26,17,101,0,0,0,0,1,100,110,7,103,2,0,2,0,286,358,56,3,23,19,11,0,2,0,2,7,65,13,3,0,0,3,15,1,11,3,31
Apr-07,Wheatbelt District,0,0,0,0,0,8,7,1,2,1,1,16,6,10,26,4,20,2,4,3,1,10,7,3,0,0,0,4,0,4,70,65,26,39,7,91,0,0,0,0,0,91,80,6,74,6,1,5,0,249,319,37,7,17,12,1,0,2,0,2,6,45,12,31,0,0,31,13,9,3,1,56
May-07,Wheatbelt District,0,0,0,0,0,4,3,1,1,1,0,17,5,12,27,6,17,4,2,2,0,10,9,1,2,0,2,1,0,1,64,74,35,39,8,128,0,0,0,0,2,126,74,4,70,1,0,1,0,285,349,65,1,34,28,2,0,2,2,0,6,73,14,26,0,0,26,13,10,1,2,53
Jun-07,Wheatbelt District,0,0,0,0,0,1,1,0,6,6,0,10,2,8,26,3,19,4,3,3,0,9,4,5,0,0,0,0,0,0,55,76,43,33,16,107,0,0,0,0,0,107,84,5,79,0,0,0,0,283,338,33,2,14,15,2,0,1,1,0,9,43,11,5,0,0,5,7,7,0,0,23
Jul-07,Wheatbelt District,0,0,0,0,0,4,3,1,7,7,0,20,5,15,30,5,19,6,4,3,1,10,7,3,1,0,1,1,0,1,77,73,26,47,12,115,0,0,0,0,2,113,109,4,105,6,0,6,0,315,392,57,4,19,24,10,0,5,3,2,17,79,9,4,0,0,4,8,3,4,1,21
Aug-07,Wheatbelt District,0,0,0,0,0,5,4,1,4,4,0,22,4,18,39,10,28,1,5,4,1,11,9,2,0,0,0,2,0,2,88,73,29,44,12,111,0,0,0,0,0,111,91,9,82,3,0,3,0,290,378,42,6,19,15,2,0,0,0,0,5,47,6,0,0,0,0,5,2,1,2,11
Sep-07,Wheatbelt District,0,0,0,0,0,4,4,0,1,1,0,25,4,21,25,5,19,1,6,2,4,8,5,3,0,0,0,1,0,1,70,69,34,35,18,103,0,0,0,0,1,102,83,10,73,2,0,2,0,275,345,54,4,31,19,0,0,1,0,1,6,61,15,30,0,0,30,15,8,4,3,60
Oct-07,Wheatbelt District,0,0,0,0,0,6,3,3,7,6,1,19,3,16,44,9,35,0,2,2,0,13,6,7,0,0,0,0,0,0,91,52,29,23,12,88,0,0,0,0,0,88,79,5,74,8,2,6,0,239,330,37,6,14,14,3,0,2,2,0,3,42,8,3,0,0,3,13,6,1,6,24
